client_siren,salaries_distincts_2020,salaries_distincts_2021
329833438,2,
329936793,7,
329959217,3,
329988794,5,
330005505,1,
330042532,6,
330044199,1,
330045030,1,
330101981,17,
330109885,1,
330123662,1,
330129842,1,
330188509,29,
330200940,5,
330233321,2,
330263955,1,
330282146,5,
330316381,3,
330320045,2,
330337114,1,
330339144,1,
330357286,13,
330362195,23,
330388356,10,
330405309,10,
330441197,1,
330471574,2,
330479973,18,
330481342,1,
330481367,2,
330506833,3,
330526138,4,
330533472,3,
330589755,1,
330599952,2,
330605841,1,
330606039,1,
330606328,3,
330688482,2,
330705450,1,
330705872,2,
330728403,1,
330773458,8,
330792078,3,
330863804,2,
330884651,1,
330897810,2,
330914391,2,
330937871,26,
330940933,2,
330973132,32,
331014993,1,
331037085,4,
331048132,1,
331066522,5,
331108555,2,
331108803,5,
331130443,9,
331142372,1,
331171892,3,
331204834,1,
331214155,4,
331218073,2,
331357160,1,
331357871,1,
331368878,1,
331405977,18,
331406033,1,
331566620,2,
331605964,1,
331606723,18,
331607051,1,
331607390,1,
331660126,8,
331693507,1,
331705848,1,
331736918,1,
331748558,1,
331760900,1,
331792176,3,
331800466,28,
331805671,18,
331830844,1,
331841932,1,
331845719,1,
331852988,2,
331901397,2,
331904318,3,
331942268,3,
332051440,1,
332065051,7,
332074079,2,
332126143,1,
332162155,1,
332188234,1,
332251610,1,
332265032,4,
332266485,1,
332276245,1,
332318583,5,
332322163,1,
332348010,7,
332400010,2,
332404342,1,
332467141,1,
332467927,8,
332484161,5,
332522077,1,
332554930,3,
332570233,3,
332604206,19,
332642214,6,
332691039,1,
332711662,1,
332714096,1,
332746684,1,
332759448,6,
332759877,7,
332776459,2,
332777028,1,
332802016,7,
332822485,2,
332836931,4,
332889153,3,
332989953,3,
333000012,1,
333003176,6,
333087609,1,
333132421,1,
333153971,4,
333161529,1,
333223311,1,
333231108,3,
333243723,1,
333265023,4,
333296580,4,
333307189,17,
333352565,1,
333401628,1,
333428829,3,
333431633,1,
333500204,2,
333544062,2,
333577658,2,
333602027,3,
333621175,2,
333635142,3,
333710374,6,
333722502,1,
333747475,2,
333786325,1,
333801686,1,
333802767,1,
333832210,5,
333834562,2,
333881670,7,
333892610,11,
333905586,1,
333912764,1,
333956480,3,
333977338,1,
333996866,1,
334027083,4,
334055183,3,
334057361,8,
334086964,4,
334088374,1,
334096435,2,
334121969,1,
334283967,1,
334313301,6,
334315488,2,
334382298,8,
334426277,12,
334429834,2,
334454600,1,
334458320,6,
334473485,6,
334521713,1,
334579869,1,
334594777,5,
334631546,2,
334670478,25,
334686227,1,
334690625,7,
334796174,3,
334819091,2,
334851664,8,
334862570,2,
334922887,11,
334961737,1,
334961943,1,
334980695,5,
335040374,7,
335040820,1,
335042586,8,
335231593,5,
335259990,1,
335272753,14,
335278537,1,
335291969,3,
335310348,2,
335323853,8,
335340279,10,
335480414,3,
335780094,9,
335782207,3,
336580246,1,
337280226,1,
337514889,13,
337520720,1,
337618615,6,
337626246,1,
337643910,5,
337688212,1,
337724785,2,
337793921,1,
337795108,29,
337846406,4,
337887996,3,
337896575,9,
337928683,9,
337986798,3,
338112733,1,
338117419,5,
338124811,1,
338241698,20,
338253230,1,
338388333,1,
338431927,4,
338548340,1,
338550593,1,
338615958,1,
338712946,1,
338721681,1,
338743867,6,
338750474,4,
338928229,1,
338929623,8,
338956857,5,
339087454,5,
339092090,1,
339098840,4,
339109068,3,
339128027,4,
339209041,8,
339234163,20,
339341869,1,
339347213,4,
339561789,3,
339566010,3,
339590937,2,
339618175,5,
339669822,1,
339678906,8,
339688335,1,
339697138,3,
339701427,1,
339703605,1,
339706483,3,
339707093,1,
339710170,6,
339744716,2,
339747404,1,
339780595,7,
339809527,1,
339858219,1,
339895872,3,
339918914,1,
339921207,6,
339941635,7,
339946469,1,
339951774,1,
339982704,2,
339994808,4,
339996407,1,
340018688,4,
340021096,4,
340023225,4,
340035526,1,
340045657,3,
340123223,2,
340140805,1,
340167261,11,
340167535,26,
340179399,9,
340182716,1,
340275650,2,
340278761,4,
340311620,4,
340375559,2,
340383975,2,
340414739,3,
340429745,2,
340492842,1,
340607688,5,
340652882,2,
340660802,1,
340708981,10,
340709534,3,
340723626,1,
340727072,25,
340797919,9,
340902857,2,
340939529,5,
340989136,6,
340991546,1,
341022622,1,
341052512,4,
341052686,3,
341052942,6,
341064509,1,
341089068,2,
341116309,1,
341123461,7,
341226892,4,
341279644,3,
341300887,1,
341331916,4,
341343150,3,
341344109,3,
341352136,4,
341356350,1,
341414159,2,
341415255,22,
341436467,2,
341470656,1,
341484202,4,
341492478,1,
341497121,16,
341500825,3,
341527521,2,
341532885,1,
341535094,2,
341562312,2,
341582898,1,
341612687,1,
341633725,4,
341638153,2,
341644508,1,
341674349,2,
341680544,1,
341697639,1,
341737062,3,
341778348,1,
341788487,9,
341806131,8,
341923134,4,
341960433,1,
341971752,2,
341978120,2,
341979995,2,
341983559,2,
342010071,4,
342041456,27,
342063443,6,
342093374,1,
342101508,1,
342115250,2,
342131547,5,
342146214,3,
342175247,4,
342182300,2,
342195518,6,
342260643,3,
342261690,3,
342279007,4,
342285350,3,
342293628,1,
342324746,20,
342327897,1,
342340759,8,
342346004,4,
342386232,4,
342413523,16,
342468600,6,
342500956,1,
342655040,2,
342682044,11,
342696317,3,
342741311,2,
342743002,3,
342761095,1,
342766243,13,
342766334,4,
342771086,1,
342849718,2,
342853322,1,
342864998,1,
342869054,2,
342869450,1,
342879400,4,
342898384,1,
342922648,2,
342939154,2,
342952942,4,
342986924,1,
343025151,2,
343048823,1,
343086591,2,
343089405,2,
343095089,1,
343101945,2,
343115135,2,
343131371,1,
343140349,25,
343146320,5,
343166393,3,
343168324,3,
343170593,4,
