numero_de_dossier,type_de_dossier,etat_du_dossier,accord_signe,date_de_jugement,date_d_enregistrement,situation_juridique,siret,nombre_de_ruptures_de_contrats_en_debut_de_procedure,nombre_de_ruptures_de_contrats_en_fin_de_procedure
22270,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,17/04/2018,In bonis,55200326100815,7,7
22270,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,17/04/2018,In bonis,55200326100674,2,2
22270,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,17/04/2018,In bonis,55200326100765,2,2
22270,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,17/04/2018,In bonis,55200326100807,1,1
700,"PSE : plan de sauvegarde de l'emploi",BilanTermine,,,03/03/2014,In bonis,95420110900012,13,13
700,"PSE : plan de sauvegarde de l'emploi",BilanTermine,,,03/03/2014,In bonis,95420110900103,5,5
700,"PSE : plan de sauvegarde de l'emploi",BilanTermine,,,03/03/2014,In bonis,95420110900137,1,1
700,"PSE : plan de sauvegarde de l'emploi",BilanTermine,,,03/03/2014,In bonis,95420110900079,7,7
22162,RCC : rupture conventionnelle collective - dÃ©lÃ©guÃ©s syndicaux,BilanEnRetard,Non,,05/04/2018,In bonis,38330059700010,57,57
3964,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,01/12/2015,In bonis,78460845700023,46,44
3964,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,01/12/2015,In bonis,78460845700031,23,22
23173,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,04/07/2018,Plan de sauvegarde sans cession  (L.626-1),38425083300033,83,83
19722,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,18/04/2017,Liquidation sans poursuite d activite (L.641-4),42872099900021,3,
19142,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,03/02/2017,In bonis,80951921800022,10,10
25168,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,21/03/2019,Liquidation sans poursuite d activite (L.641-4),81474559200026,83,83
19704,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,14/04/2017,In bonis,37767891700016,1,
14627,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,03/03/2016,In bonis,44015608100125,1,1
